procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  2      0 2670808  37432 773200    0    0     0    28 1281  455  1  1 38 61  0  0
 0  2      0 2670808  37432 773204    0    0     0     0 1253  800  0  1  0 99  0  0
 0  2      0 2670808  37432 773208    0    0     0     0 1268  816  1  1  0 99  0  0
 0  1      0 2670808  37432 773216    0    0     0     4 1281  387  0  1 46 53  0  0
 0  1      0 2670808  37432 773224    0    0     0     0 1243  310  0  1 49 50  0  0
 0  2      0 2670808  37440 773228    0    0     0    28 1243  744  1  1 49 50  0  0
 0  2      0 2670808  37440 773232    0    0     0     0 1194  788  0  0 49 51  0  0
 0  1      0 2670808  37440 773236    0    0     0     8 1291  411  1  1 49 50  0  0
 0  1      0 2670808  37440 773240    0    0     0     0 1298  322  0  1 49 50  0  0
 0  2      0 2670808  37440 773244    0    0     0     0 1234  719  0  0 49 51  0  0
 0  3      0 2670808  37448 773236    0    0     0    16 1195  794  0  1 49 50  0  0
 0  1      0 2670808  37448 773244    0    0     0     4 1218  593  1  1 49 50  0  0
 0  1      0 2670808  37448 773256    0    0     0     0 1255  352  0  1 49 50  0  0
 0  2      0 2670600  37448 773260    0    0     0     0 1281  558  1  1 25 74  0  0
 0  2      0 2670560  37448 773268    0    0     0     0 1232  790  0  1  0 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  2      0 2670560  37456 773272    0    0     0    20 1317  802  0  1  7 92  0  0
 0  1      0 2670560  37456 773276    0    0     0     0 1250  309  1  1 49 50  0  0
 0  2      0 2670560  37456 773280    0    0     0     0 1192  389  0  1 49 51  0  0
 0  2      0 2670560  37456 773288    0    0     0     0 1189  792  0  1 49 50  0  0
 0  1      0 2670560  37456 773296    0    0     0     4 1245  789  0  1 49 51  0  0
 0  2      0 2670560  37464 773288    0    0     0    16 1269  324  1  1 49 50  0  0
 0  2      0 2670560  37464 773300    0    0     0     0 1272  343  0  1 49 50  0  0
 0  2      0 2670560  37464 773304    0    0     0     0 1287  809  1  1 49 50  0  0
 0  2      0 2670560  37464 773308    0    0     0   144 1271  793  1  1 49 50  0  0
 0  1      0 2670560  37464 773312    0    0     0     4 1213  363  0  1 49 51  0  0
 0  1      0 2670560  37472 773316    0    0     0    28 1195  321  0  1 49 50  0  0
 0  2      0 2670560  37472 773324    0    0     0     0 1214  785  0  1 48 51  0  0
 0  1      0 2670560  37472 773328    0    0     0     4 1209  833  0  1 49 51  0  0
 0  1      0 2670560  37472 773332    0    0     0     0 1194  302  0  1 49 50  0  0
 0  1      0 2670560  37472 773336    0    0     0     0 1194  319  1  1 49 50  0  0
 0  4      0 2670560  37480 773328    0    0     0    45 1235  815  0  1  0 99  0  0
 1  1      0 2670560  37480 773332    0    0     0     4 1269  842  1  1  2 97  0  0
 0  1      0 2670560  37480 773344    0    0     0     0 1311  467  0  1 49 50  0  0
 0  2      0 2670560  37480 773352    0    0     0     0 1234  319  1  1 49 50  0  0
 0  2      0 2670560  37484 773356    0    0     0    68 1286  807  0  1 49 51  0  0
 0  2      0 2670560  37484 773360    0    0     0     0 1274  862  1  1 49 50  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  1      0 2670560  37492 773364    0    0     0    40 1262  375  0  1 49 51  0  0
 0  1      0 2670560  37492 773368    0    0     0     0 1283  324  0  1 49 50  0  0
 0  2      0 2670560  37492 773372    0    0     0     0 1233  748  1  1 49 50  0  0
 0  2      0 2670560  37492 773376    0    0     0     0 1196  796  0  1 49 51  0  0
 0  1      0 2670560  37492 773376    0    0     0     4 1252  425  0  1 49 50  0  0
 0  1      0 2670560  37500 773376    0    0     0    16 1207  328  1  1 47 52  0  0
 0  2      0 2670560  37500 773388    0    0     0     0 1246  742  1  1  8 91  0  0
 0  2      0 2670560  37500 773392    0    0     0     0 1246  794  0  1  0 99  0  0
 0  1      0 2670560  37500 773396    0    0     0     4 1216  401  0  1 43 56  0  0
 0  1      0 2670560  37500 773400    0    0     0     0 1193  305  1  0 49 50  0  0
 0  3      0 2670560  37508 773404    0    0     0    16 1263  734  0  1 49 51  0  0
 1  2      0 2670560  37508 773408    0    0     0     0 1210  799  1  1 49 50  0  0
 0  1      0 2670560  37508 773416    0    0     0     8 1237  503  0  1 49 50  0  0
 0  1      0 2670560  37508 773424    0    0     0     0 1199  325  0  1 49 50  0  0
 0  2      0 2670560  37508 773424    0    0     0     0 1176  643  0  1 49 51  0  0
 0  2      0 2670560  37516 773428    0    0     0    16 1279  878  1  1 49 50  0  0
 0  0      0 2670560  37516 772024    0    0   852     0 1382  875  1  2 58 39  0  0
