procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 4  0      0 2658416  38416 773296    0    0   742   112 1182    1  1  1 82 17  0  0
 1  1      0 2646308  38480 775716    0    0    63     4 3171 3261  8  3 55 35  0  0
 1  2      0 2638244  38480 775728    0    0     0     0 1270  506  0  1 31 68  0  0
 2  2      0 2638244  38480 775736    0    0     0     0 1262  814  1  1  0 99  0  0
 1  2      0 2638244  38480 775736    0    0     0     0 1211  802  0  1  0 99  0  0
 0  2      0 2638244  38488 775728    0    0     0    52 1308  617  1  0 23 76  0  0
 0  1      0 2638244  38488 775744    0    0     0     0 1220  307  0  1 48 52  0  0
 0  2      0 2638244  38488 775748    0    0     0     0 1247  521  0  1 50 49  0  0
 0  2      0 2638244  38488 775756    0    0     0     0 1207  808  0  0 51 49  0  0
 0  1      0 2638244  38488 775760    0    0     0     4 1307  720  1  1 49 49  0  0
 0  2      0 2638244  38496 775760    0    0     0    16 1196  304  1  1 49 50  0  0
 0  2      0 2638244  38496 775764    0    0     0     0 1286  430  0  0 38 62  0  0
 0  2      0 2638244  38496 775768    0    0     0     0 1251  792  0  1  0 99  0  0
 0  1      0 2638244  38496 775772    0    0     0     4 1271  727  0  1 12 87  0  0
 0  1      0 2638244  38496 775776    0    0     0     0 1185  299  1  1 49 50  0  0
 0  3      0 2638244  38504 775784    0    0     0    16 1196  409  0  1 49 51  0  0
 0  2      0 2638244  38504 775788    0    0     0     0 1188  810  0  1 49 51  0  0
 0  1      0 2638244  38504 775792    0    0     0     4 1307  761  0  1 49 51  0  0
 0  1      0 2638244  38504 775796    0    0     0     0 1198  297  0  1 49 51  0  0
 0  2      0 2638244  38504 775800    0    0     0     0 1243  448  1  1 41 58  0  0
 0  3      0 2637992  38512 775792    0    0     0    20 1249  802  1  1  0 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
