procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 4  0      0 2666972  37636 772324    0    0  1018   152 1186    1  1  1 87 11  0  0
 0  1      0 2666216  37704 774740    0    0    67     4 3034 3276  7  3 55 35  0  0
 0  2      0 2665964  37704 774744    0    0     0     0 1237  458  0  1 50 50  0  0
 0  2      0 2665964  37704 774748    0    0     0     0 1256  796  0  1 50 49  0  0
 0  2      0 2665964  37704 774752    0    0     0     0 1257  785  1  1 50 49  0  0
 0  2      0 2665712  37712 774748    0    0     0    88 1291  610  0  1 51 49  0  0
 0  1      0 2665712  37712 774760    0    0     0     0 1197  320  1  0 50 49  0  0
 0  2      0 2665712  37712 774764    0    0     0     0 1216  570  1  1 23 76  0  0
 0  2      0 2665460  37712 774772    0    0     0     0 1221  848  1  1  0 98  0  0
 0  1      0 2665460  37712 774772    0    0     0     4 1238  705  0  1 14 85  0  0
 0  2      0 2665460  37720 774768    0    0     0    20 1188  311  1  1 50 49  0  0
 0  2      0 2665460  37720 774780    0    0     0     0 1218  454  0  1 38 62  0  0
 0  2      0 2665460  37720 774780    0    0     0     0 1251  785  0  1  0 99  0  0
 1  1      0 2665460  37720 774780    0    0     0     4 1305  806  0  1  4 96  0  0
 2  1      0 2665460  37720 774792    0    0     0     0 1179  290  1  1 49 50  0  0
 1  3      0 2665460  37728 774788    0    0     0    20 1230  338  0  1 49 50  0  0
 1  2      0 2665460  37728 774800    0    0     0     0 1242  795  1  1 46 53  0  0
 1  2      0 2665460  37728 774800    0    0     0     0 1222  832  1  1 48 51  0  0
 2  1      0 2665460  37728 774808    0    0     0     8 1261  362  0  1 49 51  0  0
 1  1      0 2665460  37728 774812    0    0     0     0 1188  311  1  1 49 50  0  0
 2  3      0 2665460  37736 774804    0    0     0    20 1190  761  0  1 49 51  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  2      0 2665460  37736 774816    0    0     0     0 1189  801  0  1 47 53  0  0
 1  1      0 2665460  37736 774824    0    0     0     4 1218  417  0  1 49 50  0  0
 1  1      0 2665460  37736 774824    0    0     0     0 1211  294  0  1 49 50  0  0
 0  2      0 2665460  37736 774824    0    0     0     0 1172  715  1  1 49 50  0  0
 0  2      0 2665460  37736 774836    0    0     0     0 1272  818  0  1 49 51  0  0
 0  1      0 2665460  37744 774840    0    0     0    24 1314  501  0  1 50 49  0  0
 0  1      0 2665460  37744 774844    0    0     0     0 1258  310  0  1 50 49  0  0
 0  2      0 2665460  37744 774848    0    0     0     0 1289  712  1  1 15 83  0  0
 0  2      0 2665460  37744 774848    0    0     0     0 1251  799  0  1  0 99  0  0
 1  1      0 2665460  37744 774856    0    0     0     4 1293  516  1  1 33 66  0  0
 0  2      0 2665208  37752 774860    0    0     0   317 1328  429  0  1 27 72  0  0
 0  3      0 2665208  37752 774864    0    0     0     0 1231  300  1  1  0 98  0  0
 0  3      0 2665208  37752 774868    0    0     0     0 1278  302  0  1  0 99  0  0
 1  3      0 2665208  37752 774872    0    0     0     0 1230  290  1  1  0 99  0  0
 2  3      0 2665208  37756 774872    0    0     0    60 1240  306  0  1  0 99  0  0
 1  2      0 2665208  37760 774880    0    0     0     9 1350  496  0  2  0 98  0  0
 1  2      0 2665208  37760 774884    0    0     0     0 1211  331  1  1  0 98  0  0
 1  3      0 2665208  37760 774884    0    0     0     0 1183  307  0  1  0 99  0  0
 1  3      0 2665208  37760 774896    0    0     0     0 1192  305  1  1  0 99  0  0
 1  1      0 2665208  37760 774896    0    0     0     4 1261  391  0  1 24 76  0  0
 0  1      0 2665208  37768 774900    0    0     0    28 1184  303  0  1 49 50  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
