procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  3      0 2654448  39816 785664    0    0     0     0 1195  309  1  1 49 50  0  0
 0  3      0 2654448  39816 785668    0    0     0     0 1231  308  0  1 49 50  0  0
 1  3      0 2654448  39816 785672    0    0     0     0 1237  291  1  1 49 50  0  0
 0  3      0 2654448  39824 785668    0    0     0    20 1239  348  1  1 49 50  0  0
 0  3      0 2654448  39824 785684    0    0     0     0 1209  302  0  1 49 50  0  0
 0  3      0 2654448  39824 785688    0    0     0     0 1220  336  1  1 49 50  0  0
 0  3      0 2654448  39824 785692    0    0     0     0 1199  295  0  1 49 50  0  0
 0  3      0 2654448  39824 785696    0    0     0     0 1219  315  0  1 49 50  0  0
 0  3      0 2654448  39824 785700    0    0     0     0 1181  287  0  1 49 51  0  0
 0  3      0 2654448  39832 785704    0    0     0    20 1257  313  1  1 48 51  0  0
 0  3      0 2654448  39832 785704    0    0     0     0 1251  312  0  1 49 50  0  0
 0  3      0 2654448  39832 785708    0    0     0     0 1249  306  0  1 49 50  0  0
 0  3      0 2654448  39832 785716    0    0     0     0 1228  312  0  2 49 50  0  0
 0  3      0 2654448  39832 785720    0    0     0     0 1256  373  1  1 49 50  0  0
 0  3      0 2654448  39840 785724    0    0     0    20 1255  307  1  1 49 50  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  3      0 2654448  39840 785728    0    0     0     0 1215  311  0  1 49 50  0  0
 0  3      0 2654448  39840 785732    0    0     0     0 1300  319  0  1 49 50  0  0
 0  3      0 2654448  39840 785736    0    0     0     0 1240  318  1  1 49 50  0  0
 0  3      0 2654448  39840 785748    0    0     0     0 1243  292  0  0 49 51  0  0
 0  3      0 2654448  39848 785752    0    0     0    20 1255  328  1  1 49 50  0  0
 0  3      0 2654448  39848 785752    0    0     0     0 1267  301  0  1 49 50  0  0
 1  3      0 2654448  39848 785756    0    0     0     0 1297  373  0  1 49 50  0  0
 0  3      0 2654448  39848 785760    0    0     0     0 1274  364  1  1 49 50  0  0
 0  3      0 2654448  39848 785764    0    0     0     0 1288  322  1  1 49 50  0  0
 0  3      0 2654448  39856 785760    0    0     0    24 1278  312  0  1 49 50  0  0
 0  3      0 2654448  39856 785764    0    0     0   144 1270  312  0  1 49 50  0  0
 0  3      0 2654448  39856 785780    0    0     0     0 1244  301  0  1 49 51  0  0
 0  3      0 2654448  39856 785784    0    0     0     0 1194  316  1  1 49 50  0  0
 0  3      0 2654448  39856 785788    0    0     0     0 1180  306  0  1 49 50  0  0
 0  3      0 2654448  39864 785792    0    0     0    36 1254  306  1  1 49 50  0  0
 0  3      0 2654448  39864 785792    0    0     0     0 1198  296  0  1 49 50  0  0
 0  3      0 2654448  39864 785796    0    0     0     0 1234  309  0  1 49 51  0  0
