ts,event,details
2026-01-14T21:37:49+00:00,run_start,case=rand_write_4k_qd1__route_blackhole_60s__default
2026-01-14T21:37:49+00:00,preflight_start,
2026-01-14T21:37:54+00:00,preflight_ok,
2026-01-14T21:37:54+00:00,collectors_start,
2026-01-14T21:37:54+00:00,collectors_started,
2026-01-14T21:37:54+00:00,fio_bg_start,
2026-01-14T21:37:54+00:00,fio_start,rw=randwrite;bs=4k;qd=1;jobs=1;size=256M
2026-01-14T21:38:24+00:00,inject_wait_done,at=30s
2026-01-14T21:38:24+00:00,injection_start,mode=route_blackhole;len=60s
2026-01-14T21:38:24+00:00,injection_applied,mode=route_blackhole
2026-01-14T21:39:24+00:00,injection_revert_start,mode=route_blackhole
2026-01-14T21:39:24+00:00,injection_reverted,mode=route_blackhole
2026-01-14T21:39:24+00:00,fio_wait,
2026-01-14T21:40:52+00:00,fio_end,rc=0
2026-01-14T21:40:52+00:00,fio_wait_done,rc=0
2026-01-14T21:40:52+00:00,collectors_stop,
2026-01-14T21:40:53+00:00,collectors_stopped,
2026-01-14T21:40:53+00:00,run_end,fio_wait_rc=0
