procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 5  0      0 2719340  70352 665024    0    0   135    65 1122    0  0  0 91  8  0  0
 0  1      0 2719040  70416 667400    0    0    63     4 3530 3262  7  3 55 35  0  0
 0  2      0 2718792  70416 667408    0    0     0     0 1247  502  1  1 50 49  0  0
 0  2      0 2718740  70416 667416    0    0     0     0 1257  798  0  1 50 49  0  0
 0  2      0 2718740  70416 667420    0    0     0     0 1267  801  0  1 50 49  0  0
 0  1      0 2718740  70424 667428    0    0     0    72 1278  686  1  1 48 51  0  0
 0  1      0 2718740  70424 667436    0    0     0     0 1231  329  0  1 50 49  0  0
 0  2      0 2718740  70424 667444    0    0     0     0 1266  470  0  1 35 65  0  0
 0  2      0 2718740  70424 667456    0    0     0     0 1256  802  1  1  0 99  0  0
 0  1      0 2718740  70424 667464    0    0     0     4 1350  813  0  1  4 96  0  0
 0  2      0 2718740  70432 667460    0    0     0    16 1336  308  0  1 49 49  0  0
 0  2      0 2718740  70432 667464    0    0     0     0 1283  315  1  1 48 51  0  0
 0  2      0 2718740  70432 667484    0    0     0     0 1241  842  0  1 51 49  0  0
 0  2      0 2718740  70432 667492    0    0     0     0 1197  807  1  1 50 49  0  0
 0  1      0 2718740  70432 667496    0    0     0     4 1216  403  0  1 49 50  0  0
 0  1      0 2718740  70440 667496    0    0     0    16 1310  306  0  1 49 50  0  0
 0  2      0 2718740  70440 667516    0    0     0     0 1205  736  1  1  6 93  0  0
 0  2      0 2718740  70440 667524    0    0     0     0 1219  816  0  1  0 99  0  0
 0  1      0 2718740  70440 667532    0    0     0     4 1310  502  1  1 39 60  0  0
 0  1      0 2718740  70440 667540    0    0     0     0 1206  306  0  1 49 50  0  0
 0  3      0 2718740  70448 667556    0    0     0    48 1311  872  1  2 11 87  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  2      0 2718488  70448 667564    0    0     0     0 1199  811  1  1  0 99  0  0
 0  1      0 2718488  70448 667576    0    0     0     4 1240  619  0  1 26 74  0  0
 0  1      0 2718488  70448 667584    0    0     0     0 1198  298  1  1 49 50  0  0
 0  2      0 2718488  70448 667588    0    0     0     0 1236  564  0  1 49 51  0  0
 0  2      0 2718488  70456 667584    0    0     0    16 1339  822  1  1 49 50  0  0
 0  1      0 2718552  70456 667604    0    0     0     4 1376  601  0  1 49 50  0  0
 0  1      0 2718552  70456 667612    0    0     0   408 1384  339  0  1 49 50  0  0
 0  2      0 2718552  70456 667616    0    0     0     0 1357  550  1  1 48 50  0  0
 0  2      0 2718552  70456 667624    0    0     0     0 1213  795  0  1 49 51  0  0
 1  2      0 2718552  70464 667636    0    0     0    40 1315  654  1  1 49 50  0  0
 0  2      0 2737544  70464 667644    0    0     0    73 1297  445  1  2 26 72  0  0
 0  3      0 2737544  70464 667648    0    0     0     0 1177  301  0  1  0 99  0  0
 0  3      0 2737544  70464 667652    0    0     0   240 1204  319  1  1  0 99  0  0
 0  3      0 2737356  70464 667664    0    0     0     0 1278  308  0  1  0 99  0  0
 0  3      0 2737356  70464 667672    0    0     0     0 1273  316  0  1  0 99  0  0
 0  2      0 2736656  70472 667684    0    0     0    65 1451  680  1  2 25 72  0  0
 0  2      0 2736724  70472 667696    0    0     0     0 1246  348  1  1 50 49  0  0
 0  3      0 2736724  70472 667704    0    0     0     0 1268  337  0  1 26 73  0  0
 0  3      0 2736724  70472 667712    0    0     0     0 1259  319  0  1  0 99  0  0
 0  1      0 2736724  70472 667712    0    0     0     4 1343  403  1  1 11 88  0  0
 0  1      0 2736724  70480 667716    0    0     0    48 1305  321  0  1 47 52  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  2      0 2736724  70480 667732    0    0     0     0 1309  418  1  1 40 59  0  0
 0  2      0 2736724  70480 667748    0    0     0     0 1252  821  0  1  0 99  0  0
 0  1      0 2736796  70480 667756    0    0     0     4 1263  794  1  1  4 95  0  0
 0  1      0 2736796  70496 667764    0    0     0    88 1385  559  1  2 47 50  0  0
 0  2      0 2736544  70496 667776    0    0     0     0 1214  332  0  1 49 51  0  0
 0  2      0 2736544  70496 667784    0    0     0     0 1187  806  1  1  0 99  0  0
 0  1      0 2736292  70496 667788    0    0     0     4 1277  837  0  1  3 96  0  0
 0  1      0 2736428  70496 667792    0    0     0     0 1205  321  0  1 50 49  0  0
 0  2      0 2736428  70504 667804    0    0     0    28 1276  332  1  1 48 51  0  0
 0  2      0 2736428  70504 667816    0    0     0    20 1256  809  0  1  0 99  0  0
 0  2      0 2736428  70504 667820    0    0     0     0 1177  788  0  1  0 99  0  0
 0  1      0 2736428  70504 667824    0    0     0     4 1281  415  0  1 43 56  0  0
 0  1      0 2736428  70504 667836    0    0     0     0 1206  322  1  1 50 49  0  0
 0  3      0 2736428  70512 667836    0    0     0    52 1302  855  1  1 49 49  0  0
 0  2      0 2736428  70512 667836    0    0     0     0 1297  805  0  1 49 51  0  0
 0  1      0 2736428  70512 667856    0    0     0     4 1356  445  1  1 50 49  0  0
 0  1      0 2736428  70512 667868    0    0     0   116 1266  320  0  1 51 49  0  0
 0  2      0 2736428  70512 667876    0    0     0     0 1225  726  0  1 10 90  0  0
 0  3      0 2736428  70520 667872    0    0     0    36 1270  819  0  1  0 99  0  0
 0  1      0 2736428  70520 667888    0    0     0   512 1350  493  1  1 40 59  0  0
 0  1      0 2736428  70520 667896    0    0     0     0 1327  310  0  1 50 49  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  2      0 2736428  70520 667904    0    0     0    28 1198  697  0  1 11 89  0  0
 0  2      0 2736428  70520 667908    0    0     0     0 1218  800  1  1  0 99  0  0
 0  1      0 2736428  70528 667904    0    0     0    44 1332  561  0  1 32 67  0  0
 0  1      0 2736428  70528 667928    0    0     0   100 1373  326  0  1 50 49  0  0
 0  2      0 2736428  70528 667936    0    0     0     0 1271  633  1  1 19 80  0  0
 0  2      0 2736428  70528 667940    0    0     0   156 1251  801  0  1  0 99  0  0
 0  1      0 2736428  70528 667948    0    0     0     8 1260  611  0  1 27 72  0  0
 0  1      0 2736428  70536 667948    0    0     0    28 1238  340  1  1 50 49  0  0
 0  2      0 2736428  70536 667964    0    0     0     0 1207  570  0  1 24 75  0  0
 0  2      0 2736428  70536 667972    0    0     0     0 1241  805  1  1  0 99  0  0
 0  1      0 2736428  70536 667984    0    0     0     4 1272  638  0  1 20 79  0  0
 0  1      0 2736428  70536 667988    0    0     0     0 1314  319  0  1 50 49  0  0
 0  2      0 2736428  70544 667996    0    0     0    16 1311  499  0  1 50 49  0  0
 0  2      0 2736428  70544 668004    0    0     0     0 1250  817  1  1 50 49  0  0
 0  1      0 2736428  70544 668008    0    0     0     4 1302  712  0  1 50 49  0  0
 0  1      0 2736428  70544 668020    0    0     0     0 1320  349  1  1 50 49  0  0
 0  2      0 2736428  70544 668024    0    0     0     0 1232  435  1  1 36 63  0  0
 0  2      0 2736428  70544 668032    0    0     0     0 1227  819  0  1  0 99  0  0
 0  1      0 2736428  70552 668044    0    0     0    20 1268  797  1  1  8 91  0  0
 0  1      0 2736428  70552 668052    0    0     0     0 1239  337  0  1 50 49  0  0
 0  2      0 2736428  70552 668056    0    0     0     0 1240  359  1  1 44 55  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  2      0 2736428  70552 668064    0    0     0     0 1326  807  0  1  0 99  0  0
 0  1      0 2736428  70552 668072    0    0     0     4 1271  787  0  1  6 93  0  0
 0  1      0 2736428  70560 668080    0    0     0    20 1269  330  1  1 50 49  0  0
 0  2      0 2736428  70560 668100    0    0     0     0 1231  367  0  1 50 49  0  0
 0  2      0 2736428  70560 668104    0    0     0     0 1245  813  1  1 50 49  0  0
 0  1      0 2736428  70560 668112    0    0     0   120 1301  842  1  1 50 49  0  0
 0  1      0 2736428  70560 668120    0    0     0     0 1248  313  0  1 50 49  0  0
 0  1      0 2736428  70572 668124    0    0     0    36 1234  314  0  1 50 49  0  0
 0  2      0 2736428  70572 668136    0    0     0     0 1238  803  1  1  0 99  0  0
 0  2      0 2736428  70572 668140    0    0     0     0 1270  814  0  1  0 99  0  0
 0  1      0 2736428  70572 668144    0    0     0    32 1266  402  0  1 45 54  0  0
 0  1      0 2736428  70572 668152    0    0     0     0 1192  308  0  1 50 49  0  0
 0  2      0 2736428  70580 668168    0    0     0    32 1227  761  0  1  5 94  0  0
 0  2      0 2736428  70580 668176    0    0     0     0 1255  812  1  1  0 99  0  0
 0  1      0 2736428  70580 668180    0    0     0     5 1328  468  0  1 42 57  0  0
 0  1      0 2736428  70580 668188    0    0     0   120 1202  332  0  1 51 49  0  0
 0  2      0 2736428  70580 668196    0    0     0     0 1234  700  1  1 50 49  0  0
 0  2      0 2736428  70588 668204    0    0     0    56 1311  825  0  1 50 49  0  0
 0  1      0 2736428  70588 668216    0    0     0     4 1275  459  1  1 50 48  0  0
 0  1      0 2736428  70588 668220    0    0     0     0 1291  300  0  1 50 49  0  0
 0  2      0 2736428  70588 668228    0    0     0     0 1295  669  1  0 15 85  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  2      0 2736428  70588 668236    0    0     0     0 1323  802  0  1  0 99  0  0
 0  1      0 2736428  70596 668244    0    0     0    20 1339  564  1  1 30 69  0  0
 0  1      0 2736428  70596 668252    0    0     0     0 1379  300  0  1 50 49  0  0
 0  2      0 2736488  70596 668260    0    0     0     0 1280  587  0  1 50 49  0  0
 0  2      0 2736488  70596 668268    0    0     0     0 1279  801  1  1 50 48  0  0
 0  1      0 2736488  70596 668276    0    0     0     4 1297  665  0  1 50 49  0  0
 0  1      0 2736488  70604 668284    0    0     0    16 1253  316  0  1 49 51  0  0
 0  2      0 2736488  70604 668292    0    0     0     0 1221  503  0  1 31 69  0  0
 0  2      0 2736488  70604 668296    0    0     0     0 1313  798  1  1  0 98  0  0
 0  1      0 2736488  70604 668304    0    0     0     4 1353  686  0  1 19 81  0  0
 0  1      0 2736488  70604 668312    0    0     0     0 1382  304  0  1 50 49  0  0
 0  2      0 2736488  70612 668312    0    0     0    16 1282  496  1  2 50 48  0  0
 0  2      0 2736488  70612 668332    0    0     0     0 1293  808  0  1 50 49  0  0
 0  1      0 2736488  70612 668340    0    0     0     4 1310  679  1  1 50 49  0  0
 0  1      0 2736488  70612 668344    0    0     0     0 1238  305  0  1 50 49  0  0
 0  2      0 2736488  70612 668352    0    0     0   112 1270  456  1  1 36 62  0  0
 0  2      0 2736488  70620 668360    0    0     0    24 1384  814  0  1  0 99  0  0
 0  0      0 2736488  70620 666172    0    0     0     0 1354  848  1  2 12 86  0  0
